Timestamp,Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar
1/1/24 0:45,Machine_2,64.07,1.67,4.85
1/1/24 0:46,Machine_8,70.89,1.21,4.33
1/1/24 0:47,Machine_1,78.02,1.1,5.35
1/1/24 0:48,Machine_6,77.85,1.82,5.27
1/1/24 0:49,Machine_9,72.73,1.28,5.21
1/1/24 0:50,Machine_10,74.21,1.69,4.61
1/1/24 0:51,Machine_10,77.15,1.62,5.67
1/1/24 0:52,Machine_1,62.1,1.51,4.52
1/1/24 0:53,Machine_6,64.2,1.57,5.28
1/1/24 0:54,Machine_7,68.87,1.4,4.92
1/1/24 0:55,Machine_2,74.95,1.75,5.48
1/1/24 0:56,Machine_7,72.57,1.75,5.2
1/1/24 0:57,Machine_7,61.06,1.96,5.65
1/1/24 0:58,Machine_3,72.12,1.41,5.08
1/1/24 0:59,Machine_4,63.04,1.89,4.44
1/1/24 1:00,Machine_9,71.14,1.81,4.27
1/1/24 1:01,Machine_10,75.07,1.62,4.71
1/1/24 1:02,Machine_3,70.68,1.34,4.62
1/1/24 1:03,Machine_3,68.18,1.97,5.33
1/1/24 1:04,Machine_4,75.91,0.99,5.06
1/1/24 1:05,Machine_3,68.95,1.66,5.81
1/1/24 1:06,Machine_4,70.35,1.34,4.99
1/1/24 1:07,Machine_9,64.22,0.94,4.56
1/1/24 1:08,Machine_4,70.27,1.51,5.85
1/1/24 1:09,Machine_9,67.41,1.37,5.37
1/1/24 1:10,Machine_5,77.4,1.62,4.86
1/1/24 1:11,Machine_8,77.61,1.31,4.31
1/1/24 1:12,Machine_9,72.75,1.56,5.49
1/1/24 1:13,Machine_10,75.76,1.14,5.7
1/1/24 1:14,Machine_10,74.66,1.81,5.02
1/1/24 1:15,Machine_6,71.62,1.77,5.07
1/1/24 1:16,Machine_1,71.72,2.1,4.85
1/1/24 1:17,Machine_6,69.87,1.78,5.57
1/1/24 1:18,Machine_6,71.08,1.5,5.56
1/1/24 1:19,Machine_10,75.68,1.68,4.99
1/1/24 1:20,Machine_4,68.48,1.61,5.52
1/1/24 1:21,Machine_3,75.66,1.28,4.85
1/1/24 1:22,Machine_2,68.69,1.65,4.31
1/1/24 1:23,Machine_4,72.82,1.16,4
1/1/24 1:24,Machine_3,66.83,1.38,5
1/1/24 1:25,Machine_6,74.19,1.47,5.3
1/1/24 1:26,Machine_9,65.12,1.68,4.87
1/1/24 1:27,Machine_2,72.06,1.76,4.47
1/1/24 1:28,Machine_10,75.67,1.89,4.37
1/1/24 1:29,Machine_7,78.63,1.3,4.43
1/1/24 1:30,Machine_8,63.17,1.51,5.71
1/1/24 1:31,Machine_7,57.56,1.55,5.36
1/1/24 1:32,Machine_9,73.04,1.46,4.97
1/1/24 1:33,Machine_5,70.85,2.16,5.12
1/1/24 1:34,Machine_2,65.02,1.87,5.39
1/1/24 1:35,Machine_4,75.39,1.61,6.12
1/1/24 1:36,Machine_1,81.84,1.82,4.51
1/1/24 1:37,Machine_10,69.33,1.35,5.11
1/1/24 1:38,Machine_10,71.27,1.69,5.21
1/1/24 1:39,Machine_7,69.74,1.44,6.11
1/1/24 1:40,Machine_3,66.96,1.27,5.2
1/1/24 1:41,Machine_6,61.03,1.65,5.94
1/1/24 1:42,Machine_7,66.17,1.48,4.17
1/1/24 1:43,Machine_8,82.5,1.47,5.19
1/1/24 1:44,Machine_10,64.27,1.74,5.34
1/1/24 1:45,Machine_6,74.12,1.02,5
1/1/24 1:46,Machine_10,68.28,1.53,4.56
1/1/24 1:47,Machine_9,81.75,1.79,5.45
1/1/24 1:48,Machine_3,72.29,1.39,4.77
1/1/24 1:49,Machine_4,77.56,1.05,5.26
1/1/24 1:50,Machine_8,75.19,1.51,3.85
1/1/24 1:51,Machine_1,74.85,1.4,5.17
1/1/24 1:52,Machine_10,67.69,1.7,4.82
1/1/24 1:53,Machine_8,75.38,2.05,4.86
1/1/24 1:54,Machine_1,67.73,1.86,6.08
1/1/24 1:55,Machine_7,69.99,1.16,5.62
1/1/24 1:56,Machine_9,67.32,1.25,5.28
1/1/24 1:57,Machine_5,69.76,1.97,4.74
1/1/24 1:58,Machine_8,74.31,1.32,5.21
1/1/24 1:59,Machine_8,77.43,1.48,4.93
1/1/24 2:00,Machine_10,69.54,1.65,5.45
1/1/24 2:01,Machine_2,66.18,1.12,5.82
1/1/24 2:02,Machine_2,72.63,1.37,5.25
1/1/24 2:03,Machine_6,84.05,1.15,4.14
1/1/24 2:04,Machine_1,70.65,1.59,4.93
1/1/24 2:05,Machine_8,67.41,1.42,5.35
1/1/24 2:06,Machine_4,66.84,1.19,5.25
1/1/24 2:07,Machine_1,71.61,1.21,5.04
1/1/24 2:08,Machine_7,65.3,1.06,4.41
1/1/24 2:09,Machine_10,71.17,1.13,4.38
1/1/24 2:10,Machine_6,72.78,1.42,5.37
1/1/24 2:11,Machine_5,73.9,1.68,4.92
1/1/24 2:12,Machine_7,70.26,2.16,4.79
1/1/24 2:13,Machine_1,66.45,1.55,5.57
1/1/24 2:14,Machine_5,73.35,1.25,5.13
1/1/24 2:15,Machine_7,71.01,0.82,4.6
1/1/24 2:16,Machine_8,69.12,1.39,4.99
1/1/24 2:17,Machine_5,72.34,1.55,5.51
1/1/24 2:18,Machine_10,75.81,1.58,4.57
1/1/24 2:19,Machine_5,67.05,1.55,5.03
1/1/24 2:20,Machine_3,74.5,1.53,5.35
1/1/24 2:21,Machine_8,67.73,1.68,4.35
1/1/24 2:22,Machine_8,66.65,0.97,5.25
1/1/24 2:23,Machine_1,68.81,1.92,5.03
1/1/24 2:24,Machine_3,64.88,1.45,4.4
1/1/24 2:25,Machine_4,62.49,1.53,4.98
1/1/24 2:26,Machine_2,70.72,0.91,4.17
1/1/24 2:27,Machine_4,72.11,1.26,5.01
1/1/24 2:28,Machine_1,67.15,1.34,4.29
1/1/24 2:29,Machine_2,63.09,1.58,5.31
1/1/24 2:30,Machine_4,67.14,1.42,4.91
1/1/24 2:31,Machine_3,67.69,1.74,5.53
1/1/24 2:32,Machine_5,74.76,1.63,5.6
1/1/24 2:33,Machine_6,71.28,1.44,4.83
1/1/24 2:34,Machine_8,70.74,1.48,5.18
1/1/24 2:35,Machine_8,75.53,1.05,5.07
1/1/24 2:36,Machine_3,66.87,1.53,4.5
1/1/24 2:37,Machine_8,74.11,1.95,4.57
1/1/24 2:38,Machine_7,73.45,1.28,5.22
1/1/24 2:39,Machine_2,66.99,1.73,4.43
1/1/24 2:40,Machine_3,65.77,1.05,5.21
1/1/24 2:41,Machine_5,65.68,1.63,5.96
1/1/24 2:42,Machine_10,67.16,1.75,4.82
1/1/24 2:43,Machine_10,69.69,1.86,4.77
1/1/24 2:44,Machine_7,74.17,1.32,5.17
1/1/24 2:45,Machine_1,72.44,1.37,5.12
1/1/24 2:46,Machine_3,65.43,1.15,5.34
1/1/24 2:47,Machine_2,72.19,1.31,4.43
1/1/24 2:48,Machine_4,70.49,1.53,3.85
1/1/24 2:49,Machine_8,70.61,0.96,4.57
1/1/24 2:50,Machine_7,67.39,1.33,4.99
1/1/24 2:51,Machine_8,60.7,2.16,5.62
1/1/24 2:52,Machine_2,70.83,1.28,4.95
1/1/24 2:53,Machine_6,70.08,1.64,5.33
1/1/24 2:54,Machine_6,66.3,1.37,6.04
1/1/24 2:55,Machine_6,79.37,1.13,4.81
1/1/24 2:56,Machine_3,68.01,1.89,4.87
1/1/24 2:57,Machine_2,70.81,1.43,5.09
1/1/24 2:58,Machine_1,70.1,1.39,5.16
1/1/24 2:59,Machine_9,65.3,1.68,3.91
1/1/24 3:00,Machine_4,79.43,1.36,4.29
1/1/24 3:01,Machine_10,72.43,1.7,4.38
1/1/24 3:02,Machine_6,68.28,1.09,4.56
1/1/24 3:03,Machine_6,68.94,1.6,4.62
1/1/24 3:04,Machine_3,78.26,1.39,5.56
1/1/24 3:05,Machine_7,74.83,1.7,5.62
1/1/24 3:06,Machine_1,70.31,1.43,4.96
1/1/24 3:07,Machine_7,59.21,1.83,4.72
1/1/24 3:08,Machine_9,69.77,1.33,3.7
1/1/24 3:09,Machine_6,73.86,1.13,5.62
1/1/24 3:10,Machine_1,73.77,1.26,4.98
1/1/24 3:11,Machine_2,70.29,1.42,4.34
1/1/24 3:12,Machine_4,63.27,2,4.42
1/1/24 3:13,Machine_10,68.35,1.46,5.5
1/1/24 3:14,Machine_6,63.24,1.71,4.91
1/1/24 3:15,Machine_7,72.81,0.83,4.78
1/1/24 3:16,Machine_4,78.65,1.15,5.07
1/1/24 3:17,Machine_6,62.97,1.58,5.67
1/1/24 3:18,Machine_6,65.19,1.03,5.5
1/1/24 3:19,Machine_1,63.28,1.26,4.99
1/1/24 3:20,Machine_6,67.13,1.65,4.66
1/1/24 3:21,Machine_10,71.93,1.67,4.74
1/1/24 3:22,Machine_3,69.4,1.34,4.94
1/1/24 3:23,Machine_7,75.38,1.57,5.02
1/1/24 3:24,Machine_9,66.78,1.04,4.79
1/1/24 3:25,Machine_3,65.62,1.55,4.97
1/1/24 3:26,Machine_7,72.31,1.56,4.69
1/1/24 3:27,Machine_8,67.43,2.03,5.42
1/1/24 3:28,Machine_3,73.75,1.88,5.26
1/1/24 3:29,Machine_4,69.22,1.95,5.97
1/1/24 3:30,Machine_5,68.54,1.75,4.39
1/1/24 3:31,Machine_2,76.25,1.73,5.33
1/1/24 3:32,Machine_3,73.53,1.78,5.51
1/1/24 3:33,Machine_6,69.87,0.85,5.1
1/1/24 3:34,Machine_1,73.91,1.17,4.75
1/1/24 3:35,Machine_8,71.98,1.64,5.03
1/1/24 3:36,Machine_7,70.46,1.49,4.41
1/1/24 3:37,Machine_2,71.47,1.7,5.5
1/1/24 3:38,Machine_2,68.99,1.57,4.64
1/1/24 3:39,Machine_8,59.28,1.13,4.62
1/1/24 3:40,Machine_9,71.65,1.36,4.63
1/1/24 3:41,Machine_9,72.62,1.85,4.49
1/1/24 3:42,Machine_3,73.78,1.42,4.69
1/1/24 3:43,Machine_8,64.75,1.29,5.26
1/1/24 3:44,Machine_5,65.23,1.64,4.83
1/1/24 3:45,Machine_10,69.76,1.35,5.58
1/1/24 3:46,Machine_2,68.12,1.62,5.26
1/1/24 3:47,Machine_8,68.74,1.05,4.3
1/1/24 3:48,Machine_8,65.76,1.42,4.23
1/1/24 3:49,Machine_5,64.67,1.62,4.45
1/1/24 3:50,Machine_4,65.49,1.45,4.59
1/1/24 3:51,Machine_2,64.3,1.55,4.22
1/1/24 3:52,Machine_3,66.44,1.42,4.77
1/1/24 3:53,Machine_2,82.64,1.63,5.32
1/1/24 3:54,Machine_10,76.29,1.42,5.3
1/1/24 3:55,Machine_2,67.78,1.75,4.92
1/1/24 3:56,Machine_10,74.2,1.57,5.73
1/1/24 3:57,Machine_1,74.55,1.29,5.02
1/1/24 3:58,Machine_3,76.4,1.19,4.74
1/1/24 3:59,Machine_7,76.47,1.11,5.48
1/1/24 4:00,Machine_8,68.99,1.92,4.44
1/1/24 4:01,Machine_6,64.18,1.65,4.52
1/1/24 4:02,Machine_5,73.11,1.3,5.35
1/1/24 4:03,Machine_3,64.04,1.99,4.58
1/1/24 4:04,Machine_9,68.73,2.39,5.24
1/1/24 4:05,Machine_3,64.87,2.03,5.09
1/1/24 4:06,Machine_7,72.45,1.95,5.33
1/1/24 4:07,Machine_7,73.92,1.68,4.58
1/1/24 4:08,Machine_9,77.36,1.66,5.42
1/1/24 4:09,Machine_6,72.15,0.83,5.22
1/1/24 4:10,Machine_1,71.31,1.78,5.34
1/1/24 4:11,Machine_7,66.56,1.42,4.36
1/1/24 4:12,Machine_1,71.49,1.34,5.26
1/1/24 4:13,Machine_1,69.7,1.78,4.37
1/1/24 4:14,Machine_9,58.85,1.23,5.52
1/1/24 4:15,Machine_8,72.27,1.9,3.91
1/1/24 4:16,Machine_10,65.3,1.61,4.86
1/1/24 4:17,Machine_4,65.93,1.94,4.79
1/1/24 4:18,Machine_10,70.07,0.96,5.42
1/1/24 4:19,Machine_7,67.64,1.31,4.77
1/1/24 4:20,Machine_4,64.19,1.52,4.72
1/1/24 4:21,Machine_2,67.32,1.79,4.75
1/1/24 4:22,Machine_7,66.63,0.76,6.16
1/1/24 4:23,Machine_6,68.01,1.87,4.87
1/1/24 4:24,Machine_5,78.25,1.48,5.56
1/1/24 4:25,Machine_4,61.65,1.43,4.07
1/1/24 4:26,Machine_7,63.44,2.22,6.36
1/1/24 4:27,Machine_4,69.14,1.71,4.92
1/1/24 4:28,Machine_10,71.24,1.54,4.46
1/1/24 4:29,Machine_10,72.1,1.93,5.39
1/1/24 4:30,Machine_10,65.93,1.94,5.17
1/1/24 4:31,Machine_9,69.54,1.72,4.36
1/1/24 4:32,Machine_7,68.93,1.93,4.75
1/1/24 4:33,Machine_9,74.49,1.53,5.37
1/1/24 4:34,Machine_9,67.83,1.59,5.38
1/1/24 4:35,Machine_1,64.12,1.71,4.98
1/1/24 4:36,Machine_4,73.59,2.17,4.37
1/1/24 4:37,Machine_2,74,1.27,5.12
1/1/24 4:38,Machine_6,73.93,1.39,4.99
1/1/24 4:39,Machine_2,66.25,1.94,5.19
1/1/24 4:40,Machine_9,69.71,1.11,5.61
1/1/24 4:41,Machine_10,75.35,1.61,5.68
1/1/24 4:42,Machine_10,70.86,1.52,4.32
1/1/24 4:43,Machine_2,73.35,1.63,5.12
1/1/24 4:44,Machine_10,68.31,1.41,4.41
1/1/24 4:45,Machine_3,73.48,1.25,5.03
1/1/24 4:46,Machine_9,73.05,1.51,4.99
1/1/24 4:47,Machine_6,71.62,1.65,4.93
1/1/24 4:48,Machine_6,68.97,1.63,5.12
1/1/24 4:49,Machine_3,63.83,1.53,4.36
1/1/24 4:50,Machine_7,66.96,1.38,4.92
1/1/24 4:51,Machine_10,70.5,0.96,5.09
1/1/24 4:52,Machine_2,70.2,1.23,4.84
1/1/24 4:53,Machine_6,60.95,1.64,5.41
1/1/24 4:54,Machine_10,71.02,1.61,3.94
1/1/24 4:55,Machine_7,76.27,1.76,5.28
1/1/24 4:56,Machine_1,67.87,1.65,4.8
1/1/24 4:57,Machine_6,60.63,1.55,6.46
1/1/24 4:58,Machine_3,77.3,1.75,5.01
1/1/24 4:59,Machine_7,76.04,1.73,5.01
1/1/24 5:00,Machine_5,62.35,1.69,4.99
1/1/24 5:01,Machine_3,72.43,1.36,4.54
1/1/24 5:02,Machine_8,82.65,1.62,4.46
1/1/24 5:03,Machine_10,67.13,1.94,5.07
1/1/24 5:04,Machine_8,63.1,1.82,4.73
1/1/24 5:05,Machine_5,67.55,1.45,5.17
1/1/24 5:06,Machine_3,76.67,1.37,5.7
1/1/24 5:07,Machine_6,70.47,1.53,5.07
1/1/24 5:08,Machine_7,70.79,1.68,5.88
1/1/24 5:09,Machine_8,65.95,1.33,4.76
1/1/24 5:10,Machine_2,70.04,1.31,5.98
1/1/24 5:11,Machine_10,77.14,1.87,4.94
1/1/24 5:12,Machine_4,67.84,1.46,5.32
1/1/24 5:13,Machine_3,55.48,1.42,5.19
1/1/24 5:14,Machine_4,71.52,1.96,5.15
1/1/24 5:15,Machine_2,65.08,1.17,3.84
1/1/24 5:16,Machine_8,62.17,1.69,4.93
1/1/24 5:17,Machine_9,68.83,1.3,4.82
1/1/24 5:18,Machine_7,65.6,1.33,4.6
1/1/24 5:19,Machine_10,67.34,1.6,4.06
1/1/24 5:20,Machine_8,72.29,1.55,5.51
1/1/24 5:21,Machine_4,66.42,1.65,5.33
1/1/24 5:22,Machine_3,78.97,1.54,4.85
1/1/24 5:23,Machine_2,74.42,1.86,4.91
1/1/24 5:24,Machine_6,63.13,0.79,5.2
1/1/24 5:25,Machine_10,67.95,1.48,5.53
1/1/24 5:26,Machine_9,60,1.47,5.13
1/1/24 5:27,Machine_1,74.23,1.23,5.12
1/1/24 5:28,Machine_6,82.91,2.04,4.88
1/1/24 5:29,Machine_4,75.63,1.2,4.64
1/1/24 5:30,Machine_6,68.3,1.7,4.49
1/1/24 5:31,Machine_3,74.94,1.9,3.87
1/1/24 5:32,Machine_8,66.55,1.91,5
1/1/24 5:33,Machine_8,74.73,1.87,4.86
1/1/24 5:34,Machine_9,74.79,1.52,4.58
1/1/24 5:35,Machine_3,71.42,1.35,5.42
1/1/24 5:36,Machine_2,70.28,1.88,4.89
1/1/24 5:37,Machine_3,76.28,1.8,5.68
1/1/24 5:38,Machine_9,78.84,1.5,4.87
1/1/24 5:39,Machine_10,70.4,1.44,4.66
1/1/24 5:40,Machine_9,62.18,2.14,5.04
1/1/24 5:41,Machine_5,67.8,1.44,4.82
1/1/24 5:42,Machine_6,79.62,1.93,5.2
1/1/24 5:43,Machine_5,73.88,1.46,5.51
1/1/24 5:44,Machine_2,68.46,1.87,3.87
1/1/24 5:45,Machine_7,61.6,0.98,4.55
1/1/24 5:46,Machine_8,71.27,1.35,4.45
1/1/24 5:47,Machine_3,66.7,1.79,5.49
1/1/24 5:48,Machine_1,70.6,1.43,5.55
1/1/24 5:49,Machine_5,68.67,1.64,4.53
1/1/24 5:50,Machine_2,61.87,1.3,5.74
1/1/24 5:51,Machine_9,76.67,1.63,5.46
1/1/24 5:52,Machine_1,64.65,2.11,5.61
1/1/24 5:53,Machine_3,72.47,1.3,5.26
1/1/24 5:54,Machine_7,69.83,0.98,5.03
1/1/24 5:55,Machine_8,71.41,1.44,4.62
1/1/24 5:56,Machine_5,67.54,1.63,5.31
1/1/24 5:57,Machine_9,73.43,1.75,5.46
1/1/24 5:58,Machine_5,59.61,1.57,4.84
1/1/24 5:59,Machine_10,66.19,1.39,4.58
1/1/24 6:00,Machine_3,63.25,1.31,4.99
1/1/24 6:01,Machine_9,68.69,1.43,5.06
1/1/24 6:02,Machine_5,68.44,1.5,4.94
1/1/24 6:03,Machine_2,77.28,1.01,5.96
1/1/24 6:04,Machine_3,73.6,1.43,5.25
1/1/24 6:05,Machine_3,68.54,1.44,3.67
1/1/24 6:06,Machine_9,71.25,2.02,5.47
1/1/24 6:07,Machine_8,74.13,1.57,4.35
1/1/24 6:08,Machine_2,75.17,1.12,4.84
1/1/24 6:09,Machine_8,71.55,1.56,5.05
1/1/24 6:10,Machine_10,76.13,1.67,5.9
1/1/24 6:11,Machine_8,65.19,1.3,4.98
1/1/24 6:12,Machine_5,79.09,1.38,4.54
1/1/24 6:13,Machine_9,67.96,1.82,5.09
1/1/24 6:14,Machine_8,62.63,1.25,4.01
1/1/24 6:15,Machine_10,70.17,1.38,5.31
1/1/24 6:16,Machine_3,65.23,1.57,4.69
1/1/24 6:17,Machine_8,71.72,0.93,4.86
1/1/24 6:18,Machine_5,65.23,1.1,5.32
1/1/24 6:19,Machine_1,63.51,1.46,5.01
1/1/24 6:20,Machine_8,59.37,1.31,5.18
1/1/24 6:21,Machine_8,67.02,1.48,5.23
1/1/24 6:22,Machine_10,72.62,1.62,4.87
1/1/24 6:23,Machine_4,67.29,1.75,5.22
1/1/24 6:24,Machine_9,59.42,1.52,5.19
1/1/24 6:25,Machine_1,76.97,1.09,5.55
1/1/24 6:26,Machine_3,72.38,1.34,5.53
1/1/24 6:27,Machine_1,67.11,1.03,4.89
1/1/24 6:28,Machine_8,70.36,1.42,4.65
1/1/24 6:29,Machine_10,65.04,1.8,5.3
1/1/24 6:30,Machine_4,70.52,1.44,5.44
1/1/24 6:31,Machine_3,68.03,1.27,4.57
1/1/24 6:32,Machine_9,63.53,0.94,5.15
1/1/24 6:33,Machine_3,72.14,1.76,6.09
1/1/24 6:34,Machine_8,74.27,1.41,5.02
1/1/24 6:35,Machine_9,66.05,1.73,5.06
1/1/24 6:36,Machine_10,67.32,1.75,5.13
1/1/24 6:37,Machine_5,63.59,1.53,4.92
1/1/24 6:38,Machine_3,53.42,1.84,4.59
1/1/24 6:39,Machine_3,69.22,1.84,4.23
1/1/24 6:40,Machine_6,79.19,1.51,5.3
1/1/24 6:41,Machine_10,65.92,1.62,5.4
1/1/24 6:42,Machine_7,73.42,1.85,5.27
1/1/24 6:43,Machine_7,71.16,1.41,4.55
1/1/24 6:44,Machine_4,83.11,1.66,4.51
1/1/24 6:45,Machine_9,66.34,1.89,4.81
1/1/24 6:46,Machine_7,67.54,1.41,4.7
1/1/24 6:47,Machine_1,73.84,1.41,5.88
1/1/24 6:48,Machine_3,67.65,1.36,4.75
1/1/24 6:49,Machine_10,78.36,1.51,4.62
1/1/24 6:50,Machine_7,59.97,1.46,5.92
1/1/24 6:51,Machine_6,66.16,1.24,5.22
1/1/24 6:52,Machine_7,66.93,1.26,4.9
1/1/24 6:53,Machine_8,82.3,1.22,5
1/1/24 6:54,Machine_5,69.36,1.84,5.01
1/1/24 6:55,Machine_7,73.94,1.3,5.22
1/1/24 6:56,Machine_7,65.78,1.66,4.37
1/1/24 6:57,Machine_3,62.5,1.53,5.29
1/1/24 6:58,Machine_1,66.71,1.16,5.41
1/1/24 6:59,Machine_6,76.94,1.27,4.77
1/1/24 7:00,Machine_3,69.89,1.32,4.96
1/1/24 7:01,Machine_8,72.27,1.59,5.74
1/1/24 7:02,Machine_1,64.62,1.52,4.97
1/1/24 7:03,Machine_5,69.03,1.52,5.14
1/1/24 7:04,Machine_1,69.22,1.28,4.59
1/1/24 7:05,Machine_2,67.79,1.4,6.07
1/1/24 7:06,Machine_9,74.34,1.32,5.01
1/1/24 7:07,Machine_1,68.29,1.97,5.72
1/1/24 7:08,Machine_3,76.93,2.17,6.11
1/1/24 7:09,Machine_2,73.19,1.74,4.91
1/1/24 7:10,Machine_9,68.76,1.66,4.61
1/1/24 7:11,Machine_7,67.03,1.66,4.17
1/1/24 7:12,Machine_2,70.58,1.72,4.97
1/1/24 7:13,Machine_7,67.02,1.59,4.48
1/1/24 7:14,Machine_1,66.92,1.39,6.63
1/1/24 7:15,Machine_2,71.66,1.88,4.47
1/1/24 7:16,Machine_4,71.13,1.55,5
1/1/24 7:17,Machine_5,70.72,1.88,5.42
1/1/24 7:18,Machine_2,66.78,1.25,5.46
1/1/24 7:19,Machine_4,70.5,1.88,5.06
1/1/24 7:20,Machine_10,63.03,1.27,5.34
1/1/24 7:21,Machine_9,66.33,1.49,4.89
1/1/24 7:22,Machine_9,72.45,2.08,5.08
1/1/24 7:23,Machine_4,74.08,1.42,5.16
1/1/24 7:24,Machine_5,66.93,1.31,4.65
1/1/24 7:25,Machine_4,71.5,0.8,5.5
1/1/24 7:26,Machine_6,75.26,1.82,5.2
1/1/24 7:27,Machine_8,69.47,1.34,5.53
1/1/24 7:28,Machine_7,74.35,1.34,4.37
1/1/24 7:29,Machine_8,61.01,1.76,5.84
1/1/24 7:30,Machine_5,70.26,2.29,5.24
1/1/24 7:31,Machine_7,63.98,1.56,4.55
1/1/24 7:32,Machine_1,71.97,1.46,5.98
1/1/24 7:33,Machine_6,75.57,2.01,5
1/1/24 7:34,Machine_5,65.3,1.55,4.26
1/1/24 7:35,Machine_3,73.96,1.95,5.92
1/1/24 7:36,Machine_4,63.31,1.5,4.92
1/1/24 7:37,Machine_5,62.02,1.88,4.94
1/1/24 7:38,Machine_2,66.69,1.7,4.85
1/1/24 7:39,Machine_8,60.65,1.72,4.92
1/1/24 7:40,Machine_8,77.21,1.55,4.25
1/1/24 7:41,Machine_9,69.51,1.84,5.29
1/1/24 7:42,Machine_10,69.07,1.55,5.15
1/1/24 7:43,Machine_4,69.27,1.68,4.82
1/1/24 7:44,Machine_8,76.51,1.48,4.89
1/1/24 7:45,Machine_2,75.29,1.3,4.81
1/1/24 7:46,Machine_4,65.72,1.36,4.86
1/1/24 7:47,Machine_8,69.34,1.93,4.86
1/1/24 7:48,Machine_3,75.03,1.79,4.6
1/1/24 7:49,Machine_4,77.36,1.18,5.65
1/1/24 7:50,Machine_8,67.11,1.55,6.03
1/1/24 7:51,Machine_4,76.21,1.94,5.94
1/1/24 7:52,Machine_9,63.93,1.16,5.05
1/1/24 7:53,Machine_8,64.5,1.68,5.16
1/1/24 7:54,Machine_10,67.22,1.47,4.95
1/1/24 7:55,Machine_10,74.35,1.35,5.5
1/1/24 7:56,Machine_10,66.05,1.26,4.49
1/1/24 7:57,Machine_6,67.5,1.72,4.91
1/1/24 7:58,Machine_1,73.65,1.36,5.07
1/1/24 7:59,Machine_3,71.2,2.05,4.83
1/1/24 8:00,Machine_3,73.17,1.17,5.53
1/1/24 8:01,Machine_10,69.84,1.7,4.66
1/1/24 8:02,Machine_4,72.85,1.81,4.62
1/1/24 8:03,Machine_4,65.12,1.69,5.02
1/1/24 8:04,Machine_1,73.67,1.45,4.6
1/1/24 8:05,Machine_4,74.21,1.49,5.07
1/1/24 8:06,Machine_1,69.97,1.58,5.74
1/1/24 8:07,Machine_4,68.97,1.85,4.68
1/1/24 8:08,Machine_5,62.78,1.59,5.12
1/1/24 8:09,Machine_2,72.07,1.77,4.95
1/1/24 8:10,Machine_3,61.73,1.35,4.53
1/1/24 8:11,Machine_6,69.86,1.04,4.8
1/1/24 8:12,Machine_7,69.65,1.09,4.69
1/1/24 8:13,Machine_5,77.6,1.98,5.72
1/1/24 8:14,Machine_8,68.25,1.82,5.32
1/1/24 8:15,Machine_3,60.32,1.36,4.24
1/1/24 8:16,Machine_2,73.3,1.64,4.46
1/1/24 8:17,Machine_1,70.33,1.81,5.8
